source_node,target_node,source_longitude,source_latitude,source_magnitude,target_longitude,target_latitude,target_magnitude,distance_km,time_gap_days
3,45,-168.1284,52.145,3.0,-168.381,52.385,4.5,31.743961,6.608592e-07
7,46,-168.139,52.392,4.5,-168.338,52.318,4.3,15.822769,6.6085465e-07
4,45,-168.1641,52.2193,3.1,-168.381,52.385,4.5,23.600615,6.6048455e-07
2,43,-168.196,52.208,3.4,-168.383,52.267,5.6,14.324351,6.603411e-07
8,48,-167.9895,52.28,3.0,-168.298,52.192,2.6,23.17499,6.5979896e-07
13,55,-168.0588,52.1124,2.9,-168.203,52.302,3.5,23.259901,6.593378e-07
19,63,-168.0041,52.2865,3.1,-168.0427,52.2838,2.7,2.6427388,6.5924155e-07
14,60,-168.11,52.131,3.3,-168.167,52.185,3.0,7.1535683,6.5916737e-07
10,51,-168.2331,52.1187,2.9,-168.336,52.24,5.4,15.203631,6.591288e-07
8,47,-167.9895,52.28,3.0,-168.154,52.086,2.8,24.31308,6.589545e-07
18,62,-167.9847,52.3177,2.7,-168.185,52.166,2.9,21.69178,6.5882267e-07
9,48,-168.019,52.351,3.5,-168.298,52.192,2.6,25.941603,6.5851066e-07
13,54,-168.0588,52.1124,2.9,-168.108,52.275,2.9,18.388676,6.581908e-07
10,50,-168.2331,52.1187,2.9,-168.1298,52.2732,2.5,18.566402,6.5786713e-07
12,53,-168.327,52.299,4.8,-168.293,52.26,5.2,4.9148965,6.5769063e-07
9,47,-168.019,52.351,3.5,-168.154,52.086,2.8,30.86847,6.576662e-07
3,44,-168.1284,52.145,3.0,-168.424,52.288,5.2,25.659052,6.5744103e-07
11,51,-168.294,52.251,4.7,-168.336,52.24,5.4,3.1100783,6.5738806e-07
0,42,-168.07,52.362,4.7,-167.985,52.107,3.0,28.939507,6.573259e-07
4,44,-168.1641,52.2193,3.1,-168.424,52.288,5.2,19.270164,6.570664e-07
8,46,-167.9895,52.28,3.0,-168.338,52.318,4.3,24.07181,6.5704614e-07
14,59,-168.11,52.131,3.3,-168.084,52.257,2.8,14.122198,6.565624e-07
15,60,-168.066,52.1314,2.8,-168.167,52.185,3.0,9.109997,6.5654734e-07
10,49,-168.2331,52.1187,2.9,-168.268,52.256,2.5,15.451335,6.5650505e-07
3,43,-168.1284,52.145,3.0,-168.383,52.267,5.6,22.02326,6.564891e-07
11,50,-168.294,52.251,4.7,-168.1298,52.2732,2.5,11.444338,6.561265e-07
4,43,-168.1641,52.2193,3.1,-168.383,52.267,5.6,15.819668,6.561144e-07
1,42,-168.0493,52.2483,3.1,-167.985,52.107,3.0,16.312105,6.5588006e-07
9,46,-168.019,52.351,3.5,-168.338,52.318,4.3,21.98308,6.5575784e-07
14,58,-168.11,52.131,3.3,-168.17,52.233,2.7,12.057064,6.557307e-07
5,45,-168.0153,52.2873,2.8,-168.381,52.385,4.5,27.11795,6.547732e-07
11,49,-168.294,52.251,4.7,-168.268,52.256,2.5,1.8550953,6.5476434e-07
2,42,-168.196,52.208,3.4,-167.985,52.107,3.0,18.256804,6.5463126e-07
15,59,-168.066,52.1314,2.8,-168.084,52.257,2.8,14.01987,6.539424e-07
6,45,-167.97,52.277,3.5,-168.381,52.385,4.5,30.400352,6.537303e-07
7,45,-168.139,52.392,4.5,-168.381,52.385,4.5,16.441208,6.5360854e-07
10,48,-168.2331,52.1187,2.9,-168.298,52.192,2.6,9.275504,6.535834e-07
