trial_index,model,epoch,train_loss,val_threshold,val_precision,val_recall,val_f1,val_accuracy,val_balanced_accuracy,val_auc_roc,val_tpr_at_20_fpr,val_actual_fpr_at_selected_roc_point,val_roc_threshold_at_20_fpr
15,GAT,5,0.13063467215001584,0.05,0.2723735408560311,0.7977207977207977,0.40609137055837563,0.5905,0.6720562751490586,0.6741709989132669,0.358974358974359,0.20012128562765313,0.2395002692937851
16,GAT,1,0.2569932623803616,0.2,0.17567567567567569,1.0,0.2988505747126437,0.1765,0.5006064281382656,0.524496414126493,0.396011396011396,0.19951485748938752,0.977158784866333
16,GAT,2,0.18534257557988168,0.05,0.17959396147839668,0.9829059829059829,0.30369718309859156,0.209,0.5135876184996864,0.36691407552535504,0.18518518518518517,0.20012128562765313,0.9982860684394836
16,GAT,3,0.1576537252664566,0.1,0.18356456776947705,0.98005698005698,0.3092134831460674,0.2315,0.5261109642552941,0.3358281545061411,0.16524216524216523,0.18981200727713765,0.9994288086891174
16,GAT,4,0.1388704356700182,0.05,0.1822529224229543,0.9772079772079773,0.3072100313479624,0.2265,0.5219575362085975,0.35757145399352797,0.1908831908831909,0.20072771376591875,0.9999850988388062
16,GAT,5,0.1265664781332016,0.05,0.1833946400420389,0.9943019943019943,0.30967169476486245,0.222,0.5259563337186138,0.37129469815946475,0.19658119658119658,0.20072771376591875,0.9999532699584961
16,GAT,6,0.1212451394200325,0.2,0.18147951037786056,0.9715099715099715,0.305829596412556,0.226,0.5194117474287274,0.3660277574771207,0.1737891737891738,0.19708914493632504,0.9999991655349731
17,GAT,1,0.2660100917816162,0.8,0.3183023872679045,0.3418803418803419,0.32967032967032966,0.756,0.5930141551730393,0.5403456122073466,0.36182336182336183,0.20194057004244997,0.6925942301750183
17,GAT,2,0.21823018509149553,0.6,0.2379746835443038,0.5356125356125356,0.32953549517966696,0.6175,0.5852713981883175,0.5509753817819312,0.3475783475783476,0.23771983020012127,0.9704218506813049
17,GAT,3,0.18976219254732132,0.9,0.3473053892215569,0.33048433048433046,0.3386861313868613,0.7735,0.5991414981712131,0.49840791017261604,0.34472934472934474,0.20012128562765313,0.7621803283691406
17,GAT,4,0.16545123586058616,0.45,0.21954022988505748,0.5441595441595442,0.31285831285831284,0.5805,0.5661974191385957,0.5636412640657638,0.3504273504273504,0.19830200121285627,0.9966649413108826
17,GAT,5,0.14713374730944634,0.05,0.21074380165289255,0.5811965811965812,0.30932524639878695,0.5445,0.5589427417808255,0.5767140233483471,0.33903133903133903,0.1879927228623408,0.9350934028625488
